"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"568885529";"482";"1";"2014-01-09";"2016-04-08T12:18:04";"1100089";"Begge retn.";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Vassbotnen sykkel";"1";"2014-10-11";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"";"";"1103 Kg350 hp2 m974";"11";"1103";"K";"G";"350";"2";"2";"974";;"2415370 0.703764320785597 0.703764320785597 WITH N/A ";"POINT Z (-34105.68627 6565079.07018 12.5765)";"32633"
"573964075";"482";"3";"2017-12-15";"2017-12-15T03:01:33";"1100096";"Fra Sandnes";"Fra Stangeland";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Soma skole (sykkel)";"1";"2017-12-15";;;"Sandnes";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv509 hp1 m2352";"11";"0";"F";"V";"509";"1";"1";"2352";;"319868 0.437488179159989 0.437488179159989 WITH N/A ";"POINT Z (-35218.96453 6562042.09532 26.67221)";"32633"
"577871490";"482";"5";"2017-04-06";"2017-04-06T04:04:49";"1100068";"Mosvangen X E39";"Madlaveien rkj.";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Ullandhaugveien";"2";"2017-04-06";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv402 hp1 m505";"11";"0";"F";"V";"402";"1";"1";"505";;"320198 0.361777468226205 0.361777468226205 WITH N/A ";"POINT Z (-33540.01417 6571377.58748 78.36778)";"32633"
"578109644";"482";"2";"2014-12-10";"2017-09-26T15:54:06";"1100069";"Skjæveland X Rv44";"Sandnes";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Åsedalen";"2";"2014-12-10";;;"Sandnes";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv325 hp1 m2650";"11";"0";"F";"V";"325";"1";"1";"2650";;"319721 0.432964329643296 0.432964329643296 WITH N/A ";"POINT Z (-34711.85797 6558631.19478 13.99468)";"32633"
"578970900";"482";"2";"2017-05-24";"2018-01-04T12:31:10";"1100070";"Sola/Stavanger gr.";"Madlakrossen X Rv509";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Møllebukta";"2";"2017-05-24";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv382 hp2 m981";"11";"0";"F";"V";"382";"2";"2";"981";;"320685 0.713192041074732 0.713192041074732 WITH N/A ";"POINT Z (-35612.25924 6570935.31416 1.87248)";"32633"
"579000353";"482";"1";"2014-12-12";"2017-02-23T08:48:51";"1100071";"Forus";"Sola";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Bærheim";"2";"2014-12-13";;;"Sandnes";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv443 hp2 m1300";"11";"0";"F";"V";"443";"2";"2";"1300";;"320700 0.0487327109214786 0.0487327109214786 WITH N/A ";"POINT Z (-35415.49126 6564453.77691 13.77782)";"32633"
"579043214";"482";"3";"2015-02-10";"2016-10-17T16:16:37";"1100025";"Stavanger";"Harestad";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Finnestad";"2";"2015-02-10";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"RUTE3 2010-2019,RUTE3 2014-2023";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Ev39 hp9 m6820";"11";"0";"E";"V";"39";"9";"9";"6820";;"320583 0.222308707396396 0.222308707396396 WITH N/A ";"POINT Z (-35935.59434 6576622.57703 32.87218)";"32633"
"579049876";"482";"1";"2014-12-18";"2017-02-17T13:54:12";"1100072";"Kiellandsmyr";"Fiskepiren";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Kannik";"4";"2014-12-19";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1153 ELEKTRO,1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023,Bussveien";"1100 Fv509 hp5 m270";"11";"0";"F";"V";"509";"5";"5";"270";;"319882 0.683510026372858 0.683510026372858 WITH N/A ";"POINT Z (-32163.11088 6573065.5415 27.30068)";"32633"
"642396318";"482";"2";"2016-06-04";"2016-07-22T13:22:07";"1100094";"Begge retn.";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Bybrua øst";"1";"2016-06-04";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv435 hp1 m278";"11";"0";"F";"V";"435";"1";"1";"278";;"320695 0.192534305761992 0.192534305761992 WITH N/A ";"POINT Z (-30930.92535 6573490.57281 23.61585)";"32633"
"642396319";"482";"2";"2016-06-04";"2016-07-22T13:22:07";"1100093";"Begge retn.";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Bybrua vest";"1";"2016-06-04";;;"Stavanger";"Rogaland";"VEST";"Rogaland";"";"1103 Stavanger 2017-2022,1103 STAVANGER 2011-2016,1153 Sør Rogaland 2018-2023";"1100 Fv435 hp1 m260";"11";"0";"F";"V";"435";"1";"1";"260";;"320695 0.179487283772509 0.179487283772509 WITH N/A ";"POINT Z (-30940.17082 6573474.98226 23.43299)";"32633"
