"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"370090811";"482";"3";"2014-01-17";"2016-05-23T12:39:40";"1200039";"SENTRUM";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"NYGÅRDST.SENTR-ÅSAN";"1";"2014-01-17";;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE5C 2010-2019,RUTE5C 2014-2023";"1211 TUNNEL,1256 ELEKTRO,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Ev16 hp15 m20066";"12";"0";"E";"V";"16";"15";"15";"20066";;"804744 0.196899174832851 0.196899174832851 WITH N/A ";"POINT Z (-31477.99656 6733354.47319 4.27602)";"32633"
"370090815";"482";"5";"2017-10-04";"2017-10-04T04:01:08";"1205003";"FLØEN";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"FLØENSTIEN SYKKEL";"1";"2017-10-04";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"";"1201 Kg3033 hp1 m1050";"12";"1201";"K";"G";"3033";"1";"1";"1050";;"802226 0.934503830438165 0.934503830438165 WITH N/A ";"POINT Z (-30626.79112 6732973.67242 3.20396)";"32633"
"370090946";"482";"2";"2013-01-17";"2016-11-17T13:28:31";"1200262";"BJØRNDALSØYRA";"LODDEFJORD X FV197";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"LODDEFJORD NORD";"2";"2013-01-17";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1256 ELEKTRO,1201 ASOLA 2012-2017,1291 ASOLA GRØNT 2012-2017,1201 Asola 2018-2023,1291 Asola grønt 2017-2022,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Fv197 hp1 m1000";"12";"0";"F";"V";"197";"1";"1";"1000";;"805008 0.676220806794055 0.676220806794055 WITH N/A ";"POINT Z (-37380.34503 6732587.68636 32.70487)";"32633"
"370091186";"482";"9";"2018-01-03";"2018-01-03T03:01:55";"1200381";"FJØSANGER";"DANMARKSPLASS";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"FJØSANGER V/BOMST.";"4";"2018-01-03";;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Ev39 hp18 m310";"12";"0";"E";"V";"39";"18";"18";"310";;"804781 0.456101068031265 0.456101068031265 WITH N/A ";"POINT Z (-31863.26164 6729815.09418 14.7)";"32633"
"370091746";"482";"2";"2013-02-22";"2013-02-22T03:00:43";"1200117";"SENTRUM";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"RAMPE SENTRUM - HOP";"1";"2013-02-22";;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023";"1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Ev39 hp17 m10200";"12";"0";"E";"V";"39";"17";"17";"10200";;"804779 0.532885571293647 0.532885571293647 WITH N/A ";"POINT Z (-32431.9333 6726928.94363 11.61713)";"32633"
"370091747";"482";"2";"2013-02-22";"2016-07-08T09:37:07";"1200123";"HOP - NESTTUN";"MIDTTUN";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"MIDTTUNTUNNEL";"2";"2013-02-22";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,T1260 Hordaland vest 2016-2022,1211 Tunneler i Bergen 2016 - 2021 (test),1211 Tunnel 2016-2021";"1200 Fv580 hp2 m8024";"12";"0";"F";"V";"580";"2";"2";"8024";;"805116 0.964553255997924 0.964553255997924 WITH N/A ";"POINT Z (-31438.77988 6725465.5106 30.1404)";"32633"
"370091818";"482";"8";"2015-07-16";"2015-11-02T09:45:34";"1200019";"SANDVIKEN";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"AMALIE/MUNKEBOTTENT";"2";"2015-07-16";;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE4A 2010-2019,RUTE4A 2014-2023";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Ev39 hp81 m23010";"12";"0";"E";"V";"39";"81";"81";"23010";;"804837 0.0131648715200202 0.0131648715200202 WITH N/A ";"POINT Z (-31756.97193 6736727.39053 13.91404)";"32633"
"370091819";"482";"7";"2014-11-08";"2016-12-01T13:11:39";"1200011";"FJØSANGER";"STRAUME";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"BØNES";"2";"2014-11-08";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Fv556 hp3 m2685";"12";"0";"F";"V";"556";"3";"3";"2685";;"805054 0.527942259828483 0.527942259828483 WITH N/A ";"POINT Z (-33755.17016 6727328.61108 9.70659)";"32633"
"370091821";"482";"2";"2013-02-22";"2017-03-24T13:41:24";"1200024";"ARNANIPA";"YTRE ARNA";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"INDRE ARNA EV16";"2";"2013-02-22";;;"Bergen";"Hordaland";"VEST";"Hordaland";"RUTE5C 2010-2019,RUTE5C 2014-2023";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Ev16 hp13 m459";"12";"0";"E";"V";"16";"13";"13";"459";;"805605 0.863491758219717 0.863491758219717 WITH N/A ";"POINT Z (-24042.82625 6736391.56683 15.05316)";"32633"
"370091822";"482";"5";"2018-01-24";"2018-01-24T03:01:39";"1200027";"HERLAND";"KVISTI";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"OSTERØYBRUA";"4";"2018-01-24";;;"Bergen";"Hordaland";"VEST";"Hordaland";"";"1256 ELEKTRO,1211 TUNNEL,1202 STOR-BERGEN 2010-2015,1202 Stor-Bergen 2015-2020,E1260 Hordaland vest 2016-2022,1211 Tunnel 2016-2021";"1200 Fv566 hp1 m5";"12";"0";"F";"V";"566";"1";"1";"5";;"805731 5.02522606788209E-4 5.02522606788209E-4 WITH N/A ";"POINT Z (-19809.7458 6735939.11223 54.84366)";"32633"
