"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"703481192";"482";"2";"2016-06-18";"2017-02-09T12:25:04";"1500259";"Spjelkavik";"Åsestranda";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Spjelkavik V.";"2";"2016-06-18";;;"Ålesund";"Møre og Romsdal";"MIDT";"Møre og Romsdal";"";"1502 Sunnmøre 2005-2009,1502 Sunnmøre 2009-2014,1500 Ålesund 2014-2019,1538 Indre Romsdal - Tunnelrenhold 2014-2018";"1500 Fv396 hp1 m250";"15";"0";"F";"V";"396";"1";"1";"250";;"249425 0.0760686994058498 0.0760686994058498 WITH N/A ";"POINT Z (55043.32858 6955498.05823 26.13305)";"32633"
"703481193";"482";"1";"2015-06-12";"2017-05-30T20:00:12";"1500126";"Olsvika";"Spjelkavik";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Brauta";"2";"2016-06-17";;;"Ålesund";"Møre og Romsdal";"MIDT";"Møre og Romsdal";"";"1502 Sunnmøre 2005-2009,1502 Sunnmøre 2009-2014,1500 Ålesund 2014-2019,1538 Indre Romsdal - Tunnelrenhold 2014-2018";"1500 Fv110 hp2 m4786";"15";"0";"F";"V";"110";"2";"2";"4786";;"249213 0.162308429432005 0.162308429432005 WITH N/A ";"POINT Z (55686.02175 6956404.60943 42.36615)";"32633"
"703481194";"482";"1";"2015-06-12";"2016-06-17T04:02:17";"1500099";"Ålesund";"Sjøholt";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Ytterholen";"2";"2016-06-17";;;"Ålesund";"Møre og Romsdal";"MIDT";"Møre og Romsdal";"RUTE4B 2010-2019,RUTE4B 2014-2023";"1502 Sunnmøre 2005-2009,1502 Sunnmøre 2009-2014,1500 Ålesund 2014-2019,1538 Indre Romsdal - Tunnelrenhold 2014-2018";"1500 Ev39 hp15 m504";"15";"0";"E";"V";"39";"15";"15";"504";;"248908 0.0715619673594463 0.0715619673594463 WITH N/A ";"POINT Z (55661.09647 6956401.09597 47.60881)";"32633"
"703481195";"482";"1";"2015-06-15";"2016-06-17T04:02:18";"1500197";"Moa";"Vegsundet";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Spjelkavik N.";"2";"2016-06-17";;;"Ålesund";"Møre og Romsdal";"MIDT";"Møre og Romsdal";"";"1502 Sunnmøre 2005-2009,1502 Sunnmøre 2009-2014,1500 Ålesund 2014-2019,1538 Indre Romsdal - Tunnelrenhold 2014-2018";"1500 Fv111 hp3 m406";"15";"0";"F";"V";"111";"3";"3";"406";;"249217 0.809820824706159 0.809820824706159 WITH N/A ";"POINT Z (55112.07675 6955564.14553 27.66146)";"32633"
"710221262";"482";"4";"2016-09-09";"2017-01-01T10:37:08";"705019";"SYKKELFELTET";"GANGVEIEN";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"HVALTORGET-SYKKEL";"2";"2016-09-09";;;"Sandefjord";"Vestfold";"SØR";"Vestfold";"";"";"0710 Kg32200 hp1 m70";"7";"710";"K";"G";"32200";"1";"1";"70";;"2549301 0.6 0.6 WITH N/A ";"POINT Z (227005.742 6564171.098 1.336)";"32633"
"711470078";"482";"1";"2016-07-01";"2018-01-01T01:11:53";"1600211";"Trondheim";"Orkanger";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E39 Øysand F07";"2";"2016-07-02";;;"Melhus";"Trøndelag";"MIDT";"Trøndelag";"RUTE4B 2010-2019,RUTE4B 2014-2023";"1608 OPS 2005-2030";"5000 Ev39 hp1 m3046";"50";"0";"E";"V";"39";"1";"1";"3046";;"72241 0.236790190203845 0.236790190203845 WITH N/A ";"POINT Z (261969.63494 7030470.04996 13)";"32633"
"711470079";"482";"1";"2016-07-01";"2018-01-01T01:11:53";"1600212";"Trondheim";"Orkanger";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E39 Øysand F05";"2";"2016-07-02";;;"Melhus";"Trøndelag";"MIDT";"Trøndelag";"RUTE4B 2010-2019,RUTE4B 2014-2023";"1608 OPS 2005-2030";"5000 Ev39 hp1 m3027";"50";"0";"E";"V";"39";"1";"1";"3027";;"72241 0.235311808535975 0.235311808535975 WITH N/A ";"POINT Z (261988.10388 7030465.5232 13.1)";"32633"
"711470080";"482";"1";"2016-07-01";"2018-01-01T01:11:53";"1600210";"Trondheim";"Orkanger";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E39 Øysand F09";"2";"2016-07-02";;;"Melhus";"Trøndelag";"MIDT";"Trøndelag";"RUTE4B 2010-2019,RUTE4B 2014-2023";"1608 OPS 2005-2030";"5000 Ev39 hp1 m3065";"50";"0";"E";"V";"39";"1";"1";"3065";;"72241 0.238268571871714 0.238268571871714 WITH N/A ";"POINT Z (261951.17927 7030474.63096 12.94845)";"32633"
"712144686";"482";"6";"2017-07-07";"2017-07-07T04:01:16";"1410003";"FØRDE SENTRUM";"ANGEDALEN";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"ANGEDALSVEGEN (SYKKEL)";"1";"2017-07-07";;;"Førde";"Sogn og Fjordane";"VEST";"Sogn og Fjordane";"";"";"1400 Fg481 hp201 m770";"14";"0";"F";"G";"481";"201";"201";"770";;"383742 0.167840014573844 0.167840014573844 WITH N/A ";"POINT Z (14042.47327 6847247.91985 3.5)";"32633"
"712144687";"482";"7";"2017-07-07";"2017-07-07T04:01:05";"1410002";"STOREHAGEN BRU";"FLORØ";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"STOREHAGEN BRU (SYKKEL)";"1";"2017-07-07";;;"Førde";"Sogn og Fjordane";"VEST";"Sogn og Fjordane";"";"1405 INDRE SUNNFJORD 2009-2015,1405 Indre Sunnfjord 2015-2020,E1455 Elektrokontrakt Fjordane 2017-2022";"1400 Rg5 hp17 m60";"14";"0";"R";"G";"5";"17";"17";"60";;"383729 0.032590000757508 0.032590000757508 WITH N/A ";"POINT Z (13272.57788 6847245.48932 4.15555)";"32633"
"712144688";"482";"9";"2017-07-07";"2017-07-07T04:01:14";"1410001";"STOREHAUG";"STOREHAGEN BRU";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"FØRDE VEST (SYKKEL)";"1";"2017-07-07";;;"Førde";"Sogn og Fjordane";"VEST";"Sogn og Fjordane";"";"1405 INDRE SUNNFJORD 2009-2015,1405 Indre Sunnfjord 2015-2020,E1455 Elektrokontrakt Fjordane 2017-2022";"1400 Eg39 hp210 m1440";"14";"0";"E";"G";"39";"210";"210";"1440";;"383737 0.835923171562896 0.835923171562896 WITH N/A ";"POINT Z (13181.01593 6847224.21626 3.18035)";"32633"
"713265904";"482";"4";"2017-08-05";"2017-08-05T04:01:33";"800517";"Herøya";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Skjelsvikdalen Sykkeltellepunkt";"1";"2017-08-05";;;"Porsgrunn";"Telemark";"SØR";"Telemark";"";"0804 Nedre Telemark sør 2014-2019";"0800 Rg36 hp201 m814";"8";"0";"R";"G";"36";"201";"201";"814";;"1846414 0.296640963519777 0.296640963519777 WITH N/A ";"POINT Z (194993.2515 6563535.88299 31.6848)";"32633"
"714151662";"482";"3";"2017-12-22";"2018-01-09T15:48:37";"1700709";"Figga";"Grandkrysset";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Sannan sykkel i felt 1";"1";"2017-12-22";;;"Steinkjer";"Trøndelag";"MIDT";"Trøndelag";"";"1704 Steinkjer 2006-2011,1707 Steinkjer 2011-2016,1707 Steinkjer med tillegg 2011-2016,1707 Steinkjer 2016-2021,1707 Steinkjer med tillegg 2016-2021";"5000 Fv762 hp1 m310";"50";"0";"F";"V";"762";"1";"1";"310";;"578661 0.00885397515991852 0.00885397515991852 WITH N/A ";"POINT Z (329023.09518 7102495.11369 6.68789)";"32633"
"714151663";"482";"3";"2017-12-22";"2018-01-09T15:48:37";"1700710";"Figga";"Grandkrysset";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Sannan sykkel i felt 2";"1";"2017-12-22";;;"Steinkjer";"Trøndelag";"MIDT";"Trøndelag";"";"1704 Steinkjer 2006-2011,1707 Steinkjer 2011-2016,1707 Steinkjer med tillegg 2011-2016,1707 Steinkjer 2016-2021,1707 Steinkjer med tillegg 2016-2021";"5000 Fv762 hp1 m310";"50";"0";"F";"V";"762";"1";"1";"310";;"578661 0.00885397515991852 0.00885397515991852 WITH N/A ";"POINT Z (329023.09518 7102495.11369 6.68789)";"32633"
"716521476";"482";"4";"2017-12-01";"2017-12-01T03:02:03";"800518";"Borgestad";;"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Bøle Sykkeltellepunkt";"1";"2017-12-01";;;"Skien";"Telemark";"SØR";"Telemark";"";"0810 Telemark elektro 2014-2019,0811 Telemark veglys 2016-2019,0803 Grenland 2016-2020";"0800 Fg32 hp203 m4583";"8";"0";"F";"G";"32";"203";"203";"4583";;"1687248 0.571920024006082 0.571920024006082 WITH N/A ";"POINT Z (193206.31936 6573132.8594 19.83)";"32633"
"718216322";"482";"7";"2018-01-06";"2018-01-06T03:02:13";"1500196";"Veblungsnes";"Åndalsnes Sentrum";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Sykkel";"Operativ";"Øran bru Sykkel";"1";"2018-01-06";;;"Rauma";"Møre og Romsdal";"MIDT";"Møre og Romsdal";"";"1503 IndreRomsdal 2006-2013,1503 Indre Romsdal 2013-2018,1533 Indre Romsdal - Åfarnes 2013-2018,1539 Indre Romsdal - Tunnel og berg 2014-2018,1538 Indre Romsdal - Tunnelrenhold 2014-2018,1503 Indre Romsdal 2018-2023,1539 Tunnel- og bergsikr 2018-2023 Nordm og Romsd";"1500 Fg64 hp1 m271";"15";"0";"F";"G";"64";"1";"1";"271";;"1812384 0.959707617990577 0.959707617990577 WITH N/A ";"POINT Z (124493.23542 6957964.22387 7.08135)";"32633"
