"vegobjektid";"type_id";"versjonid";"startdato";"sistmodifisert";"Målestasjonsnummer";"Med-retning (fra)";"Mot-retning (fra)";"Kilde";"Registreringsnivå";"Trafikantgruppe";"Status";"Stedsnavn";"Antall kjørefelt";"Sist oppdatert fra NorTraf";"Prosjektreferanse";"Geometri, punkt";"kommune";"fylke";"region";"vegavdeling";"riksvegrute";"kontraktsområde";"vegreferanse";"fylkesnummer";"kommunenummer";"vegkategori";"vegstatus";"vegnummer";"fra hp";"til hp";"fra meter";"til meter";"stedfesting";"geometri";"srid"
"606186794";"482";"2";"2015-07-04";"2016-03-04T13:30:32";"300108";"Sentrum";"Kongshavn";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Kong Håkon 5.s gt Sydgående";"3";"2015-07-04";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE3 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv162 hp1 m10110";"3";"0";"R";"V";"162";"1";"1";"10110";;"2460300 0.298518353411864 0.298518353411864 WITH N/A ";"POINT Z (263012.15462 6648524.20808 4.54073)";"32633"
"621370047";"482";"1";"2015-08-14";"2016-11-24T10:17:20";"300109";"Sentrum";"Grorud";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Økerntunellen mot Grorud Datter";"2";"2015-08-15";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0310 TUNNELKONTRAKT OSLO 2014-2019,0303 RIKSVEGER OSLO 2016-2021";"0300 Rv163 hp1 m425";"3";"0";"R";"V";"163";"1";"1";"425";;"2312244 0.6896365289976 0.6896365289976 WITH N/A ";"POINT Z (265512.72996 6650968.81898 83.74992)";"32633"
"621370048";"482";"1";"2015-08-14";"2015-08-15T04:02:25";"300100";"Grorud";"Sentrum";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Økerntunellen mot Sentrum Datter";"1";"2015-08-15";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv163 hp1 m20200";"3";"0";"R";"V";"163";"1";"1";"20200";;"2312145 0.409060645373013 0.409060645373013 WITH N/A ";"POINT Z (265508.62212 6650979.65931 83.77407)";"32633"
"628586696";"482";"2";"2015-09-17";"2016-02-29T14:53:39";"300140";"Vest";"Øst";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Dr. Eufemias Gt. Østgående Datter";"2";"2015-09-17";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE3 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev18 hp50 m552";"3";"0";"E";"V";"18";"50";"50";"552";;"2460281 0.807686611552895 0.807686611552895 WITH N/A ";"POINT Z (262648.52781 6648843.13786 2.99361)";"32633"
"628586697";"482";"2";"2015-09-17";"2016-08-24T12:23:55";"300139";"Øst";"Vest";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Dr. Eufemias Gt. Vestgående Datter";"2";"2015-09-17";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE3 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev18 hp50 m10470";"3";"0";"E";"V";"18";"50";"50";"10470";;"2460285 0.176839524888333 0.176839524888333 WITH N/A ";"POINT Z (262658.94463 6648860.16562 2.92961)";"32633"
"636222209";"482";"2";"2016-08-20";"2018-02-01T14:35:58";"300093";"Ullevål";"Smestad";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"Gaustad";"7";"2016-08-20";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Rv150 hp1 m8145";"3";"0";"R";"V";"150";"1";"1";"8145";;"625405 0.832050225385782 0.832050225385782 WITH N/A ";"POINT Z (260512.60798 6653195.8069 100.22853)";"32633"
"636473389";"482";"1";"2015-09-29";"2015-09-30T04:02:02";"300141";"Bekkelaget";"Sentrum";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E18 Kongshavn";"6";"2015-09-30";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE2A 2010-2019,RUTE2A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev18 hp1 m8285";"3";"0";"E";"V";"18";"1";"1";"8285";;"2545188 0.659658071901034 0.659658071901034 WITH N/A ";"POINT Z (262733.27316 6647328.77411 9.45463)";"32633"
"643548977";"482";"2";"2016-12-03";"2017-08-30T08:49:49";"300142";"Ryen";"Teisen";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Midlertidig ute av drift";"E6 Bryn";"4";"2016-12-03";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m11285";"3";"0";"E";"V";"6";"1";"1";"11285";;"625213 0.33459246966533 0.33459246966533 WITH N/A ";"POINT Z (266261.5346 6648711.92968 86.5666)";"32633"
"646465868";"482";"2";"2016-01-09";"2016-02-08T13:13:17";"300144";"Furuset";"Ulven";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Alnabru Sydgående Furuset Ulven";"2";"2016-01-09";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE6A 2010-2019,RUTE6A 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m20277";"3";"0";"E";"V";"6";"1";"1";"20277";;"625214 0.12707274820524 0.12707274820524 WITH N/A ";"POINT Z (266983.58998 6650244.99114 90.71343)";"32633"
"646465870";"482";"2";"2016-01-12";"2017-08-30T08:49:49";"300001";"Ryen";"Bryn";"Registreringspunkt";"Kontinuerlig (Nivå 1)";"Motorkjøretøy";"Operativ";"E6 Manglerud";"6";"2016-01-12";;;"Oslo";"Oslo";"ØST";"Oslo";"RUTE1 2014-2023";"0303 RIKSVEGER OSLO 2016-2021,0210 Drift Elektro veglyskontrakt Oslo og Akershus";"0300 Ev6 hp1 m10300";"3";"0";"E";"V";"6";"1";"1";"10300";;"625213 0.134473844789221 0.134473844789221 WITH N/A ";"POINT Z (266146.87027 6647795.82958 117.77781)";"32633"
